name,unit_id,tier,cost_gold,food,upgrades_from,upgrades_to,traits,targets,atk1_min,atk1_max,atk1_mean,atk1_cooldown,atk1_range,atk1_type,atk1_dps,atk2_min,atk2_max,atk2_mean,atk2_cooldown,atk2_range,atk2_type,atk2_dps,splash_targets,armour_type,armour_value,hp,cost_lumber,atk1_weapon,atk1_base,atk1_dice,atk1_sides,atk1_type_resolved,base_unit,abilities,tooltip,dps_raw,crit_multiplier,dps_with_crit,dps_per_gold,coverage_vs_725,dps_per_gold_coverage_adj,on_hit_dps,dot_dps,dps_total_est,dps_per_gold_x_range,dps_source,cost_source,attack_count,hits_air,hits_ground,targets_all,atk1_targets,atk2_targets,dps_vs_ground,dps_vs_air
Aspect of Cold,h04F,1,0,0,,Arctic Blaster,Activate / Deactivate Mana Detection (ANcl); Cold Snap (AIm2); Winter's Bite (ACcw),"air,enemies,ground,nonancient",,,,,,,,,,,,,,,,,0,1000,,,,,,,,,,,1.00,,,,,,,,,"no damage figure — support/on-death, or a bonus that needs a basic attack it lacks",map,1,yes,yes,"air,enemies,ground,nonancient","air,enemies,ground,nonancient",,,
Arctic Blaster,h04C,2,30,0,Aspect of Cold,,Activate / Deactivate Mana Detection (ANcl); Arctic Blast (A07S); Cold Snap (AIm2),"air,enemies,ground,nonancient",,,,,,,,,,,,,,,,,1,1250,,,,,,,,,,39.8,1.00,39.8,1.33,,,,,39.8,,"caster: Arctic Blast (sustained, mana-limited)",map,1,yes,yes,"air,enemies,ground,nonancient","air,enemies,ground,nonancient",,39.8,39.8
Aspect of Fire,h03W,1,5,0,,Scalding Tower,Activate / Deactivate Mana Detection (ANcl); Kiss of Flame (AHfa); Combustion (A014),"air,enemies,ground,nonancient",,,,,,,,,,,,,,,,,0,1000,,,,,,,,,,,1.00,,,,,,,,,"no damage figure — support/on-death, or a bonus that needs a basic attack it lacks",map,1,yes,yes,"air,enemies,ground,nonancient","air,enemies,ground,nonancient",,,
Scalding Tower,h03X,2,35,0,Aspect of Fire,,Activate / Deactivate Mana Detection (ANcl); Combustion (A014); Scald (ANbf),"air,enemies,ground,nonancient",,,,,,,,,,,,,,,,,1,1250,,,,,,,,,,47.3,1.00,47.3,1.35,,,,,47.3,,"caster: Scald (sustained, mana-limited)",map,1,yes,yes,"air,enemies,ground,nonancient","air,enemies,ground,nonancient",,47.3,47.3
Aspect of Lightning,h03R,1,15,0,,Electrocutioner,Activate / Deactivate Mana Detection (ANcl); Ball Lightning (A07R); Electrify (AIhb),"air,enemies,ground,nonancient",,,,,,,,,,,,,,,,,0,1000,,,,,,,,,,48.6,1.00,48.6,3.24,,,,,48.6,,"caster: Ball Lightning (sustained, mana-limited)",map,1,yes,yes,"air,enemies,ground,nonancient","air,enemies,ground,nonancient",,48.6,48.6
Electrocutioner,h042,2,40,0,Aspect of Lightning,,Activate / Deactivate Mana Detection (ANcl); Electrify (AIhb); Forked Lightning (ANfl),"air,enemies,ground,nonancient",,,,,,,,,,,,,,,,,1,1250,,,,,,,,,,,1.00,,,,,,,,,"no damage figure — support/on-death, or a bonus that needs a basic attack it lacks",map,1,yes,yes,"air,enemies,ground,nonancient","air,enemies,ground,nonancient",,,
Rebuilder,h03Y,1,10,0,,,Activate / Deactivate Mana Detection (ANcl); Soothe Foundation (A080),,,,,,,,,,,,,,,,,,1,1250,,,,,,,,,,,1.00,,,,,,,,,"no damage figure — support/on-death, or a bonus that needs a basic attack it lacks",map,,,,,,,,
Chilly Bit Striker,h043,1,230,0,,Freezing Field,Activate / Deactivate Mana Detection (ANcl); Cold Snap (AIm2); Chilly Bits Grade Peorth (ANc1),"air,enemies,ground,nonancient",,,,,,,,,,,,,,,,,2,1500,,,,,,,,,,58,1.00,58.0,0.25,,,,,58.0,,"caster: Chilly Bits Grade Peorth (sustained, mana-limited)",map,1,yes,yes,"air,enemies,ground,nonancient","air,enemies,ground,nonancient",,58.0,58.0
Freezing Field,h046,2,325,0,Chilly Bit Striker,,Activate / Deactivate Mana Detection (ANcl); Freezing Field (Aamk); Cold Snap (AIm2),"air,enemies,ground,nonancient",,,,,,,,,,,,,,,,,3,1750,,,,,,,,,,,1.00,,,,,,,,,"no damage figure — support/on-death, or a bonus that needs a basic attack it lacks",map,1,yes,yes,"air,enemies,ground,nonancient","air,enemies,ground,nonancient",,,
Fire Hydra,h044,1,255,0,,Duke Burnify,Activate / Deactivate Mana Detection (ANcl); Combustion (A014); Fire Volley (Aroc),"air,enemies,ground,nonancient",355,355,355.0,0.5,1100,chaos,710.0,,,,,,,,,,2,1500,0,missile,354,1,1,chaos,hhou,"ANcl,A014,Aroc,A028",Build Fire Hydra ( S ) - 255,710,1.00,710.0,2.78,2.30,6.41,,,710.0,4.22,basic attack,map,1,yes,yes,"air,enemies,ground,nonancient","air,enemies,ground,nonancient",,710.0,710.0
