name,unit_id,tier,cost_gold,food,upgrades_from,upgrades_to,traits,targets,atk1_min,atk1_max,atk1_mean,atk1_cooldown,atk1_range,atk1_type,atk1_dps,atk1_dps_per_gold_range_adj,atk2_min,atk2_max,atk2_mean,atk2_cooldown,atk2_range,atk2_type,atk2_dps,atk2_dps_per_gold_range_adj,splash_targets,armour_type,armour_value,hp,cost_lumber,atk1_weapon,atk1_base,atk1_dice,atk1_sides,atk1_type_resolved,base_unit,abilities,tooltip
Quickshot,h006,1,15,0,,Cross Bow,Regeneration; Versatile Critical Strike I,"air,enemies,ground,nonancient",20,23,21.5,0.7,700,pierce,30.7,1.98,,,,,,,,,,,0,1000,0,missile,19,1,4,pierce,hhou,"A03W,A004,A028",Build Quickshot ( Q )
Cross Bow,h002,2,35,0,Quickshot,,Regeneration; Versatile Critical Strike II,"air,enemies,ground,nonancient",145,158,151.5,0.9,600,chaos,168.3,3.98,,,,,,,,,,,0,1250,0,missile,144,1,14,chaos,hhou,"A03W,A01E,A028",U pgrade to Cross Bow
Frigid Dryad,h00A,1,95,0,,The Pride of Moon Star,Cure I; Air Critical Strike II; Splash; Afra,"air,enemies,ground,nonancient",57,57,57.0,1.0,700,chaos,57.0,0.58,,,,,,,,,"air,enemies,ground,nonancient",,0,1500,0,msplash,56,1,1,chaos,hhou,"A03U,A006,A028,A021,Afra",Build Frigid Dryad ( W )
The Pride of Moon Star,h00O,2,200,0,Frigid Dryad,,Cure I; Air Critical Strike I; Aspo,"air,enemies,ground,nonancient",998,999,998.5,1.0,700,chaos,998.5,4.82,,,,,,,,,,,0,2000,0,missile,997,1,2,chaos,hhou,"A03U,A005,A028,Aspo",U pgrade to The Pride of Moon Star
Hunter,h00B,1,65,0,,Jailing Officer,Boss Assassin I; Aspo,"air,enemies,ground,nonancient",161,163,162.0,0.6,500,chaos,270.0,2.86,,,,,,,,,,,0,1750,0,missile,160,1,3,chaos,hhou,"A03D,A028,Aspo",Build Hunter ( E )
Jailing Officer,h00P,2,190,0,Hunter,,Slow Poison II; Boss Assassin I,"air,enemies,ground,nonancient",481,490,485.5,0.5,500,chaos,971.0,3.52,,,,,,,,,,,0,2000,0,missile,480,1,10,chaos,hhou,"A008,A03D,A028",U pgrade to Jailing Officer
Iron Mistress,h00F,1,375,0,,,Vindicator I; Boss Assassin I; Splash,"air,enemies,ground,nonancient",451,451,451.0,0.4,800,chaos,1127.5,3.32,,,,,,,,,"air,enemies,ground,nonancient",,0,2250,0,msplash,450,1,1,chaos,hhou,"A02Y,A03D,A028,A021",Build Iron Mistress ( R )
Chibidevil,h00Q,1,45,0,,,Aabr; AIva; Ground Critical Strike I,"air,enemies,ground,nonancient",66,68,67.0,0.8,800,chaos,83.7,2.05,,,,,,,,,,,1,1250,0,missile,65,1,3,chaos,hhou,"Aabr,AIva,A028,A003",Build Chibidevil ( A )
The Unborn,h01R,1,155,0,,Severe Trauma,Vindicator II; Uber Splash,"air,enemies,ground,nonancient",155,155,155.0,1.0,1000,chaos,155.0,1.38,,,,,,,,,"air,enemies,ground,nonancient",,1,1500,0,msplash,154,1,1,chaos,hhou,"A03C,A028,A022",Build The Unborn ( S )
Severe Trauma,h00V,2,250,0,The Unborn,,Vindicator III; Uber Ground Splash; Air Deficiency,"air,enemies,ground,nonancient",913,921,917.0,1.5,1000,siege,611.3,3.37,,,,,,,,,"enemies,ground,nonancient",,2,1750,0,msplash,912,1,9,siege,hhou,"A02Z,A028,A01X,A009",U pgrade to Severe Trauma
